# source, target
0,24907
0,3060
0,6908
0,7089
0,12707
0,18217
1,1239
2,174
2,3561
3,1944
3,174
3,1239
3,3356
3,10578
4,567
4,1239
4,22773
4,226
5,4413
6,702
6,701
6,1239
6,3215
6,3549
7,786
8,2914
8,3356
8,4557
9,5050
9,17054
10,6461
10,3356
11,1742
12,6517
12,7018
12,3754
13,668
14,209
14,6395
14,3754
15,3301
15,16117
16,293
17,19782
17,19401
18,276
18,6922
18,26468
19,701
19,577
20,6395
20,3754
20,4323
21,1239
22,668
23,1239
24,11537
24,10343
24,2153
24,293
24,22388
24,297
25,2153
25,2152
26,7911
26,19401
26,3754
26,14477
27,6059
27,10886
28,4465
28,22161
28,11851
28,3549
29,209
29,22742
30,7018
31,567
31,226
32,174
32,71
32,3671
32,2153
32,2152
33,6461
33,2497
33,1280
34,174
34,5830
34,10466
35,209
35,5691
36,12227
36,6468
36,10942
36,3356
36,10469
37,668
38,15438
38,1224
38,11537
38,19401
38,293
38,6325
39,3561
40,701
40,7018
41,297
42,10711
42,8674
42,6762
42,17604
42,715
42,16150
42,3303
42,25462
42,19029
42,6539
42,2497
42,3257
42,2905
42,13237
42,19151
42,2516
42,4355
42,7132
42,16668
42,2914
42,11686
42,4637
42,11164
42,3557
42,5413
42,6453
42,293
43,293
43,6128
44,174
45,293
46,11094
46,1239
46,10466
47,567
47,226
48,668
49,701
50,10490
50,293
51,8220
51,5602
52,2153
52,2152
53,701
53,7132
54,4323
55,174
55,3356
55,10466
56,21050
57,17234
57,217
57,22335
57,12164
57,19401
57,12884
57,8148
57,7911
57,11245
57,178
57,17171
57,11537
57,6263
57,15336
57,3549
57,4323
57,21951
57,3145
57,14763
57,25866
57,1998
57,10582
57,7973
58,20497
59,2381
59,19401
59,22335
59,293
60,2152
61,1337
62,8866
63,14742
63,10578
64,209
64,5691
65,2828
65,6128
66,6461
66,4267
66,209
66,6298
66,3549
66,696
67,6395
67,7018
68,293
68,1829
68,17172
69,701
69,1239
70,3527
70,3356
70,10886
71,32
71,1239
71,13979
71,10782
71,4323
71,7385
71,7298
71,9218
71,209
71,151
71,19647
71,7018
72,9911
72,6395
72,174
72,1273
72,7018
72,4755
72,4323
73,101
74,3602
75,2429
75,15682
75,15835
75,6453
76,3602
76,577
76,26230
77,209
77,5723
78,701
78,5006
78,7018
78,22969
79,25347
79,8744
80,19981
80,701
80,14846
80,703
80,3921
80,1295
81,6559
81,9236
81,13371
81,13090
81,11974
81,10490
81,174
81,23072
81,1255
81,22753
81,19401
81,11537
81,209
81,11164
81,19718
81,22854
81,3356
81,11442
81,17031
82,13056
83,721
83,668
84,668
85,12714
86,7018
87,19782
88,21537
88,10466
88,1785
89,721
89,668
90,701
90,1239
91,6395
91,3754
92,3356
92,3754
93,2914
94,701
94,3561
95,8551
95,3300
96,11081
97,2914
98,6395
98,3754
99,6159
100,1803
100,21174
100,15776
100,1662
100,4428
100,12076
100,13586
100,6429
101,17200
101,11956
101,14954
101,1239
101,6360
101,15307
101,3130
101,6182
101,10430
101,19401
101,7018
101,3807
101,6539
101,4193
101,11537
101,3491
101,3401
101,4355
101,2914
101,14077
101,11164
101,14221
101,7774
101,11808
101,73
101,3356
101,14262
101,293
101,3428
102,209
102,1239
102,10886
103,6395
103,22335
103,293
103,6325
103,3549
104,14041
104,2551
105,701
105,19108
106,6395
107,9050
108,3593
109,1239
109,9498
109,9116
109,9293
109,4657
109,7132
109,4637
109,2914
109,702
109,701
109,14745
109,7018
109,4755
109,6197
109,11308
110,15694
111,10961
111,10578
112,10515
112,22548
112,8674
112,8763
112,1390
112,1280
112,12041
112,16034
112,7500
112,5421
112,16150
112,209
112,4589
112,25098
112,3277
112,15431
113,7027
114,12389
114,15640
115,701
115,4713
115,703
115,2516
116,209
116,1239
116,3356
117,2907
117,7660
118,7795
119,24318
119,174
119,23895
119,19045
119,5991
120,1239
120,6395
121,1239
121,7018
122,701
122,174
123,25904
123,19586
124,4713
124,2516
125,701
125,6395
125,7018
125,3356
126,701
126,1239
127,567
127,226
127,297
128,174
128,8001
129,4713
129,2516
130,209
130,3561
131,2153
131,2152
131,4323
132,400
132,668
133,2914
133,2516
134,209
134,3561
135,10021
135,2516
136,1239
137,24869
137,1299
137,20965
137,2300
137,3549
137,6882
137,174
137,17411
137,3356
137,3303
137,8978
138,2907
138,2497
139,17697
139,9370
140,701
140,3356
141,174
141,812
141,8001
141,6327
142,6395
142,7132
143,21687
144,701
145,21633
145,688
145,22284
146,7260
146,7132
147,7018
147,14743
148,2497
148,4713
149,2516
149,2510
150,12310
151,17675
151,1239
151,71
151,9498
151,9798
151,3758
151,2516
151,4657
151,4637
151,4725
151,4515
151,4755
152,701
152,7018
153,10910
153,3356
154,174
155,174
155,7018
156,1239
156,3356
156,10578
157,701
157,1239
158,3301
158,2686
159,600
159,3112
160,209
160,22335
160,6325
161,12179
161,7018
162,7911
162,7018
163,6395
164,209
164,15218
164,7132
165,6327
165,852
166,26050
166,12968
166,12831
167,7381
168,4210
169,10911
170,174
171,2828
171,3561
172,209
173,701
173,4713
173,2511
173,703
174,10163
174,4544
174,23010
174,21592
174,8434
174,13055
174,13184
174,7172
174,17050
174,11180
174,5473
174,24193
174,362
174,4406
174,12637
174,1273
174,13324
174,11852
174,17328
174,4963
174,2516
174,8657
174,1785
174,20407
174,11570
174,22064
174,23073
174,25976
174,25540
174,20244
174,25686
174,13229
174,12605
174,19092
174,4788
174,22556
174,3957
174,23102
174,6937
174,16823
174,12093
174,7756
174,6191
174,3741
174,19051
174,11895
174,1244
174,22544
174,12060
174,21505
174,16810
174,25953
174,9395
174,22721
174,12238
174,22791
174,19027
174,7147
174,11647
174,5098
174,11879
174,23255
174,8473
174,18838
174,26198
174,19901
174,9496
174,22531
174,25626
174,19256
174,20179
174,14720
174,10267
174,18519
174,16639
174,13490
174,15874
174,9332
174,3302
174,22095
174,22255
174,1320
174,12859
174,455
174,16316
174,368
174,5067
174,4529
174,717
174,5826
174,14148
174,4735
174,8447
174,6902
174,21696
174,3238
174,9055
174,15388
174,20075
174,14479
174,14173
174,22015
174,25613
174,15028
174,18973
174,5037
174,11965
174,569
174,5179
174,9191
174,9388
174,5577
174,4551
174,17262
174,19338
174,18039
174,2033
174,4169
174,10963
174,20804
174,16961
174,19990
174,13711
174,12956
174,9914
174,13884
174,4033
174,3148
174,25722
174,20644
174,16073
174,2319
174,16469
174,10901
174,16215
174,21057
174,8763
174,15699
174,22994
174,19165
174,22283
174,4323
174,4637
174,13489
174,155
174,9009
174,8319
174,1142
174,6983
174,8187
174,8201
174,12732
174,12289
174,20893
174,6303
174,26458
174,26078
174,20121
174,7843
174,9428
174,24963
174,8318
174,18986
174,20176
174,23097
174,16270
174,9043
174,19019
174,19557
174,6300
174,11472
174,10347
174,14588
174,11691
174,13924
174,220
174,13407
174,12985
174,25826
174,24711
174,22672
174,19102
174,16150
174,4923
174,12407
174,1605
174,25286
174,6409
174,13992
174,15627
174,12632
174,6349
174,26449
174,21682
174,14883
174,26163
174,12720
174,1371
174,128
174,3676
174,5220
174,773
174,7303
174,19452
174,10366
174,11940
174,4220
174,13345
174,11103
174,13057
174,3213
174,20171
174,25761
174,8284
174,9066
174,2874
174,15235
174,18987
174,20782
174,476
174,19313
174,6762
174,18608
174,7730
174,20776
174,3397
174,21750
174,18453
174,18650
174,14592
174,11504
174,21473
174,21069
174,464
174,25781
174,3727
174,20391
174,15943
174,22925
174,13628
174,15588
174,17074
174,11417
174,13287
174,17369
174,21503
174,21216
174,5243
174,6512
174,17221
174,17902
174,18193
174,6770
174,26308
174,20330
174,6046
174,13660
174,3334
174,756
174,22998
174,24868
174,13468
174,11660
174,16770
174,23325
174,22117
174,14286
174,24640
174,12021
174,14150
174,18469
174,137
174,5533
174,3871
174,11814
174,12255
174,16407
174,11478
174,11331
174,1167
174,3300
174,15083
174,14469
174,9286
174,26213
174,15732
174,8311
174,5713
174,12558
174,18794
174,13616
174,13049
174,17782
174,15092
174,25678
174,9246
174,14427
174,21700
174,17377
174,16082
174,21991
174,22682
174,545
174,4527
174,13411
174,10970
174,11057
174,26289
174,12074
174,8530
174,11524
174,6408
174,21013
174,10282
174,24491
174,20237
174,26079
174,20130
174,12409
174,11710
174,8851
174,6407
174,22589
174,19249
174,8757
174,2603
174,8826
174,20847
174,10102
174,8046
174,2686
174,11110
174,5144
174,7755
174,5425
174,14102
174,4166
174,9092
174,23520
174,8551
174,1135
174,2169
174,14688
174,2116
174,7886
174,2423
174,8898
174,12334
174,6864
