# index, as_id, _pos
0,41847,"array([-2.93256365,  0.79769065])"
1,26476,"array([-2.90787845,  0.79083578])"
2,26477,"array([-2.91806169,  0.80174282])"
3,3,"array([-2.91592863,  0.79780184])"
4,4,"array([-2.9134647 ,  0.79130244])"
5,5,"array([-2.92289712,  0.80609881])"
6,6,"array([-2.91894976,  0.79685576])"
7,7,"array([-2.92826028,  0.79148457])"
8,8,"array([-2.91650347,  0.79383484])"
9,9,"array([-2.91040627,  0.79781191])"
10,26478,"array([-2.92029554,  0.80125067])"
11,11,"array([-2.91233668,  0.8115406 ])"
12,12,"array([-2.91103596,  0.80231452])"
13,13,"array([-2.90205031,  0.78543747])"
14,14,"array([-2.90777235,  0.80273786])"
15,41848,"array([-2.93159148,  0.78884211])"
16,16,"array([-2.91658443,  0.78878754])"
17,17,"array([-2.9092834 ,  0.78912353])"
18,18,"array([-2.90532367,  0.78752417])"
19,26480,"array([-2.91678911,  0.79128769])"
20,20,"array([-2.90746551,  0.79867798])"
21,21,"array([-2.90843088,  0.79118801])"
22,22,"array([-2.90213137,  0.7861147 ])"
23,26481,"array([-2.90943692,  0.79024126])"
24,24,"array([-2.91602708,  0.79024716])"
25,25,"array([-2.91312661,  0.78663689])"
26,26,"array([-2.9114402,  0.7974985])"
27,27,"array([-2.91493109,  0.80616293])"
28,26482,"array([-2.91784066,  0.80114096])"
29,29,"array([-2.90615996,  0.80364658])"
30,30,"array([-2.90357536,  0.79727331])"
31,31,"array([-2.9154725 ,  0.78686493])"
32,32,"array([-2.91556519,  0.79350738])"
33,33,"array([-2.9200912 ,  0.79427018])"
34,34,"array([-2.91784246,  0.80567978])"
35,35,"array([-2.90307105,  0.80268313])"
36,26483,"array([-2.91854846,  0.80462236])"
37,37,"array([-2.90249291,  0.78607644])"
38,38,"array([-2.91295097,  0.79100421])"
39,26484,"array([-2.91602657,  0.80416892])"
40,26485,"array([-2.91158854,  0.79563319])"
41,41,"array([-2.91513235,  0.78763552])"
42,42,"array([-2.9198328 ,  0.79420941])"
43,43,"array([-2.91716689,  0.79838826])"
44,26486,"array([-2.91897324,  0.80633885])"
45,45,"array([-2.91620837,  0.78837936])"
46,46,"array([-2.91202759,  0.80230825])"
47,47,"array([-2.9148017,  0.7869067])"
48,48,"array([-2.90238635,  0.78550081])"
49,49,"array([-2.91091634,  0.78889428])"
50,50,"array([-2.91350903,  0.79386721])"
51,41849,"array([-2.92750465,  0.80337797])"
52,52,"array([-2.91350457,  0.78643611])"
53,26488,"array([-2.9118123 ,  0.79092892])"
54,26489,"array([-2.90490434,  0.79210018])"
55,55,"array([-2.91782057,  0.80335651])"
56,43852,"array([-2.92860353,  0.77834577])"
57,57,"array([-2.9055406 ,  0.79383301])"
58,41851,"array([-2.92554917,  0.82406311])"
59,59,"array([-2.91478292,  0.79433915])"
60,26492,"array([-2.91217587,  0.78660142])"
61,26493,"array([-2.91573371,  0.80626887])"
62,43713,"array([-2.92791577,  0.81224699])"
63,63,"array([-2.91152013,  0.80659232])"
64,64,"array([-2.90317414,  0.80309475])"
65,26495,"array([-2.91425781,  0.80483277])"
66,26496,"array([-2.91294035,  0.79794294])"
67,67,"array([-2.90669842,  0.79968947])"
68,68,"array([-2.91326074,  0.79003491])"
69,26497,"array([-2.9144853 ,  0.79331604])"
70,70,"array([-2.91723415,  0.80164476])"
71,71,"array([-2.90996654,  0.7924286 ])"
72,72,"array([-2.91540167,  0.79458736])"
73,73,"array([-2.91072886,  0.78756281])"
74,74,"array([-2.92200485,  0.78564341])"
75,41853,"array([-2.93156093,  0.79116686])"
76,26499,"array([-2.92193706,  0.78990747])"
77,77,"array([-2.90767053,  0.80353419])"
78,78,"array([-2.91063737,  0.79870959])"
79,41854,"array([-2.94121631,  0.78763186])"
80,80,"array([-2.90970849,  0.78779959])"
81,81,"array([-2.9109481 ,  0.79390669])"
82,41855,"array([-2.93996161,  0.78397396])"
83,83,"array([-2.9014402 ,  0.78692436])"
84,84,"array([-2.90179967,  0.78606007])"
85,41856,"array([-2.93606185,  0.79497096])"
86,86,"array([-2.90447283,  0.79457895])"
87,87,"array([-2.90395153,  0.78856108])"
88,88,"array([-2.91496748,  0.80657285])"
89,89,"array([-2.90113834,  0.78703328])"
90,90,"array([-2.91273275,  0.79274083])"
91,91,"array([-2.90708857,  0.80439323])"
92,92,"array([-2.91400598,  0.80255443])"
93,93,"array([-2.91905162,  0.78818978])"
94,26503,"array([-2.91468381,  0.79570362])"
95,41857,"array([-2.92282162,  0.78956022])"
96,26505,"array([-2.90838623,  0.78609513])"
97,97,"array([-2.92034635,  0.78889274])"
98,98,"array([-2.90673593,  0.80391253])"
99,43358,"array([-2.91680871,  0.82114233])"
100,100,"array([-2.91409614,  0.79166874])"
101,101,"array([-2.91361488,  0.79201383])"
102,102,"array([-2.91192986,  0.79964211])"
103,103,"array([-2.91350925,  0.79543687])"
104,104,"array([-2.90913962,  0.80558654])"
105,26507,"array([-2.90997325,  0.79559709])"
106,106,"array([-2.90495503,  0.80518994])"
107,41859,"array([-2.92320412,  0.81373366])"
108,26509,"array([-2.90813563,  0.81029862])"
109,109,"array([-2.91593369,  0.79360596])"
110,41860,"array([-2.94115034,  0.81438768])"
111,111,"array([-2.91336806,  0.80607399])"
112,112,"array([-2.92164089,  0.79577039])"
113,41861,"array([-2.94322842,  0.77813213])"
114,41862,"array([-2.93593953,  0.78331285])"
115,37888,"array([-2.91750141,  0.78928313])"
116,116,"array([-2.91343244,  0.79875655])"
117,37889,"array([-2.9202254 ,  0.78269421])"
118,26515,"array([-2.91812846,  0.80698768])"
119,41863,"array([-2.9221289 ,  0.80652455])"
120,26517,"array([-2.90897331,  0.79842655])"
121,26518,"array([-2.9076865 ,  0.79484436])"
122,122,"array([-2.91804515,  0.79796739])"
123,26519,"array([-2.89961958,  0.79978795])"
124,37891,"array([-2.9210543 ,  0.78691528])"
125,125,"array([-2.91308015,  0.79811816])"
126,26521,"array([-2.9129735 ,  0.79211617])"
127,127,"array([-2.91628207,  0.78855577])"
128,26522,"array([-2.92105369,  0.79935863])"
129,37892,"array([-2.92071362,  0.78669831])"
