# index, meta, _pos
0,39036,"array([-10.87633234,  -2.5624533 ])"
1,39035,"array([-10.87990522,  -2.56662734])"
2,539427,"array([-10.82530692,  -2.54925941])"
3,26799,"array([-10.83885186,  -2.54456748])"
4,8275,"array([-10.82999361,  -2.5411278 ])"
5,8273,"array([-10.83607473,  -2.53016889])"
6,314705,"array([-10.80201669,  -2.54002299])"
7,123375,"array([-10.81023319,  -2.54606175])"
8,842138,"array([-10.82565914,  -2.57408499])"
9,4610,"array([-10.82456559,  -2.57274535])"
10,1129625,"array([-10.85114173,  -2.5797043 ])"
11,344456,"array([-10.85407565,  -2.58309711])"
12,89416,"array([-10.85552455,  -2.51516431])"
13,42254,"array([-10.85154213,  -2.51466391])"
14,523389,"array([-10.87990932,  -2.51434306])"
15,51049,"array([-10.87536729,  -2.5116608 ])"
16,36319,"array([-10.85991909,  -2.52078553])"
17,110174,"array([-10.86559835,  -2.50941063])"
18,132433,"array([-10.80531324,  -2.53368298])"
19,63518,"array([-10.82278609,  -2.52983651])"
20,1135622,"array([-10.85509177,  -2.51005813])"
21,783,"array([-10.85593891,  -2.51550195])"
22,1114615,"array([-10.82602999,  -2.55077219])"
23,26902,"array([-10.8337964 ,  -2.55834548])"
24,1124435,"array([-10.84375448,  -2.55351077])"
25,92172,"array([-10.83815224,  -2.55804251])"
26,9487,"array([-10.83049349,  -2.56548691])"
27,9490,"array([-10.82826737,  -2.56707652])"
28,441090,"array([-10.84418313,  -2.54609707])"
29,8979,"array([-10.83520928,  -2.54936456])"
30,1154785,"array([-10.77979149,  -2.54627817])"
31,58277,"array([-10.78996728,  -2.54471465])"
32,1108632,"array([-10.84815496,  -2.56806211])"
33,135022,"array([-10.84371439,  -2.55196712])"
34,1127319,"array([-10.84176926,  -2.51976582])"
35,32796,"array([-10.84189065,  -2.52312261])"
36,178400,"array([-10.87865791,  -2.50797841])"
37,64271,"array([-10.87182131,  -2.50293776])"
38,711356,"array([-10.84441036,  -2.53323384])"
39,167656,"array([-10.86212126,  -2.53474203])"
40,1110979,"array([-10.83615042,  -2.52066441])"
41,10071,"array([-10.82805699,  -2.52493278])"
42,1107930,"array([-10.82521997,  -2.55704201])"
43,327617,"array([-10.82411353,  -2.54785988])"
44,1428,"array([-10.80378815,  -2.54066392])"
45,1420,"array([-10.80323344,  -2.53812579])"
46,507685,"array([-10.8375756 ,  -2.54933351])"
47,507696,"array([-10.8348202 ,  -2.55411362])"
48,1140014,"array([-10.83164154,  -2.54929629])"
49,26797,"array([-10.8281314 ,  -2.54487074])"
50,548361,"array([-10.85795385,  -2.58466105])"
51,10602,"array([-10.85498715,  -2.58136352])"
52,1134293,"array([-10.83390457,  -2.51870777])"
53,713598,"array([-10.83387366,  -2.52462468])"
54,518651,"array([-10.81750926,  -2.5587452 ])"
55,5662,"array([-10.82062401,  -2.5555884 ])"
56,48590,"array([-10.80355854,  -2.51562304])"
57,436206,"array([-10.80589103,  -2.52272807])"
58,1136810,"array([-10.82848946,  -2.56761308])"
59,9229,"array([-10.82938059,  -2.56534625])"
60,88449,"array([-10.8340931 ,  -2.55268608])"
61,10144,"array([-10.8269609 ,  -2.55255986])"
62,1133751,"array([-10.83252423,  -2.5367825 ])"
63,46699,"array([-10.83381989,  -2.53289198])"
64,13897,"array([-10.88408987,  -2.53937121])"
65,308883,"array([-10.89145465,  -2.53779878])"
66,1102856,"array([-10.80553077,  -2.53165117])"
67,10641,"array([-10.80445227,  -2.53229332])"
68,66347,"array([-10.86736054,  -2.56265866])"
69,57404,"array([-10.86421056,  -2.55625865])"
70,1124995,"array([-10.87213141,  -2.54147044])"
71,264,"array([-10.88041438,  -2.55335848])"
72,1106610,"array([-10.80610717,  -2.51208781])"
73,90796,"array([-10.80208497,  -2.50387361])"
74,28316,"array([-10.86159232,  -2.52743845])"
75,6378,"array([-10.85942967,  -2.52916015])"
76,1857,"array([-10.81108767,  -2.55544944])"
77,8453,"array([-10.81685202,  -2.55719538])"
78,70351,"array([-10.81617983,  -2.5575449 ])"
79,4412,"array([-10.81422838,  -2.5617337 ])"
80,1105666,"array([-10.84900131,  -2.51901457])"
81,70093,"array([-10.84612895,  -2.51499005])"
82,1152176,"array([-10.80347429,  -2.56293939])"
83,40370,"array([-10.80855343,  -2.56451169])"
84,1114130,"array([-10.86664603,  -2.5548303 ])"
85,15076,"array([-10.87494151,  -2.55269227])"
86,21155,"array([-10.84094621,  -2.52197905])"
87,1140098,"array([-10.90668704,  -2.52988197])"
88,848491,"array([-10.90646105,  -2.53496108])"
89,466610,"array([-10.82231586,  -2.52584766])"
90,19720,"array([-10.82010889,  -2.53009417])"
91,49568,"array([-10.80320136,  -2.56639495])"
92,17154,"array([-10.80518283,  -2.56535501])"
93,1128487,"array([-10.85327095,  -2.50905063])"
94,777,"array([-10.85410963,  -2.51724296])"
95,600748,"array([-10.8513593 ,  -2.53981681])"
96,72902,"array([-10.8551938 ,  -2.53729036])"
97,1125598,"array([-10.81466695,  -2.51387526])"
98,7326,"array([-10.80825088,  -2.51492334])"
99,1135433,"array([-10.83582184,  -2.5593257 ])"
100,150207,"array([-10.84117922,  -2.56037295])"
101,1153713,"array([-10.84948328,  -2.57272111])"
102,303387,"array([-10.84170032,  -2.5695886 ])"
103,18313,"array([-10.87244343,  -2.53267872])"
104,28447,"array([-10.86522572,  -2.53186953])"
105,814019,"array([-10.82673957,  -2.58259342])"
106,6254,"array([-10.82473979,  -2.58399415])"
107,1105368,"array([-10.8205904 ,  -2.56689587])"
108,37553,"array([-10.82032026,  -2.57059147])"
109,270277,"array([-10.81732954,  -2.54499482])"
110,53462,"array([-10.81716991,  -2.55102269])"
