# index, name, nodeLabel, _pos
0,MAP2K4,MAP2K4,"array([3.61142857, 7.17657221])"
1,FLNC,FLNC,"array([3.62009906, 7.15252751])"
2,MYPN,MYPN,"array([3.61077394, 7.05820963])"
3,ACTN2,ACTN2,"array([3.58835713, 7.13778188])"
4,ACVR1,ACVR1,"array([3.53522509, 7.00202697])"
5,FNTA,FNTA,"array([3.58499201, 7.11598621])"
6,GATA2,GATA2,"array([3.69465704, 7.09224355])"
7,PML,PML,"array([3.65872529, 7.15363573])"
8,RPA2,RPA2,"array([3.6837535 , 7.23135697])"
9,STAT3,STAT3,"array([3.64899326, 7.17588964])"
10,ARF1,ARF1,"array([3.70877313, 7.18286102])"
11,GGA3,GGA3,"array([3.69280624, 7.25628593])"
12,ARF3,ARF3,"array([3.73262087, 7.20722456])"
13,ARFIP2,ARFIP2,"array([3.60704712, 7.14710548])"
14,ARFIP1,ARFIP1,"array([3.79035205, 7.2264094 ])"
15,XRN1,XRN1,"array([3.62184929, 7.30669502])"
16,ALDOA,ALDOA,"array([3.65341941, 7.24451037])"
17,APP,APP,"array([3.59171882, 7.27513345])"
18,APPBP2,APPBP2,"array([3.72511682, 7.19211215])"
19,APLP1,APLP1,"array([3.62195225, 7.15615999])"
20,DAB1,DAB1,"array([3.54406196, 7.15807366])"
21,CITED2,CITED2,"array([3.6905809 , 7.07822789])"
22,TFAP2A,TFAP2A,"array([3.66841003, 7.1528462 ])"
23,EP300,EP300,"array([3.66615827, 7.1437859 ])"
24,APOB,APOB,"array([3.4976892 , 7.23963836])"
25,MTTP,MTTP,"array([3.30795145, 7.25670249])"
26,ARRB2,ARRB2,"array([3.62835554, 7.19459267])"
27,RALGDS,RALGDS,"array([3.54166236, 7.16798226])"
28,CSF1R,CSF1R,"array([3.57592447, 7.1391651 ])"
29,GRB2,GRB2,"array([3.60175207, 7.18418897])"
30,PRRC2A,PRRC2A,"array([3.63669869, 7.25560294])"
31,LSM1,LSM1,"array([3.63610538, 7.2701319 ])"
32,NARS,NARS,"array([3.6066904 , 7.26735732])"
33,SLC4A1,SLC4A1,"array([3.60204297, 7.1030212 ])"
34,SLC4A1AP,SLC4A1AP,"array([3.71484596, 7.16802466])"
35,BCL3,BCL3,"array([3.66736277, 7.16413023])"
36,BARD1,BARD1,"array([3.6638905 , 7.21719792])"
37,ADRB1,ADRB1,"array([3.55009697, 7.090279  ])"
38,GIPC1,GIPC1,"array([3.56748085, 7.19515128])"
39,BRCA1,BRCA1,"array([3.6759783 , 7.18288833])"
40,ATF1,ATF1,"array([3.70669469, 7.11634614])"
41,MSH2,MSH2,"array([3.69164117, 7.20156315])"
42,MSH6,MSH6,"array([3.70067722, 7.19509468])"
43,ARVCF,ARVCF,"array([3.51434905, 7.1218656 ])"
44,CDH15,CDH15,"array([3.46883742, 7.13516371])"
45,PCBD1,PCBD1,"array([3.70489482, 7.20304557])"
46,CACNA1C,CACNA1C,"array([3.56224281, 7.15143091])"
47,PSEN2,PSEN2,"array([3.56797426, 7.23694389])"
48,CAPN1,CAPN1,"array([3.65680135, 7.23199806])"
49,CAPN3,CAPN3,"array([3.79968712, 7.13193445])"
50,TTN,TTN,"array([3.62401777, 7.13763333])"
51,ITPR1,ITPR1,"array([3.56615434, 7.22815669])"
52,CA8,CA8,"array([3.74207991, 7.13594949])"
53,MAGI1,MAGI1,"array([3.56905445, 7.12032474])"
54,CTNNB1,CTNNB1,"array([3.64881171, 7.15091101])"
55,RB1,RB1,"array([3.67994783, 7.16225127])"
56,CUX1,CUX1,"array([3.68930594, 7.13442037])"
57,TSG101,TSG101,"array([3.60825335, 7.23218069])"
58,CDKN1A,CDKN1A,"array([3.64584368, 7.19098435])"
59,ORC1,ORC1,"array([3.73866219, 7.1971412 ])"
60,MCM2,MCM2,"array([3.70645382, 7.19262929])"
61,ORC4,ORC4,"array([3.72796165, 7.19059524])"
62,MCM5,MCM5,"array([3.69559215, 7.20543167])"
63,CDC7,CDC7,"array([3.76979352, 7.18992488])"
64,ORC2,ORC2,"array([3.74285337, 7.19502465])"
65,DBF4,DBF4,"array([3.76216079, 7.20845639])"
66,AKAP8,AKAP8,"array([3.61554324, 7.20573369])"
67,RPA1,RPA1,"array([3.68347619, 7.21082453])"
68,RPA3,RPA3,"array([3.68233173, 7.24842458])"
69,ORC5,ORC5,"array([3.73727837, 7.188818  ])"
70,MCM3,MCM3,"array([3.69074024, 7.21613902])"
71,YWHAZ,YWHAZ,"array([3.6332749 , 7.17618105])"
72,CDC25A,CDC25A,"array([3.62524446, 7.20763878])"
73,DOCK8,DOCK8,"array([3.74052624, 7.23224813])"
74,CDC42,CDC42,"array([3.57488058, 7.16906639])"
