# index, name, _pos
0,1,"array([ 1.34982556, 12.73997839])"
1,47308,"array([ 1.34855618, 12.74359796])"
2,2,"array([ 1.34945437, 12.74143155])"
3,13839,"array([ 1.34917278, 12.74379749])"
4,19373,"array([ 1.34890702, 12.74386909])"
5,51000,"array([ 1.3493468 , 12.74404432])"
6,3,"array([ 1.34970739, 12.74295091])"
7,15547,"array([ 1.34829943, 12.74419568])"
8,21595,"array([ 1.3477949 , 12.74509601])"
9,31469,"array([ 1.34929662, 12.74374624])"
10,62005,"array([ 1.34811858, 12.74473916])"
11,69160,"array([ 1.3492053 , 12.74390805])"
12,21127,"array([ 1.34854739, 12.74439862])"
13,4,"array([ 1.34772189, 12.74421794])"
14,50501,"array([ 1.3481098 , 12.74470138])"
15,42744,"array([ 1.34756744, 12.74485804])"
16,6715,"array([ 1.34826084, 12.74429303])"
17,44277,"array([ 1.3480117, 12.7444279])"
18,18084,"array([ 1.34696154, 12.74417136])"
19,57866,"array([ 1.3479828 , 12.74529025])"
20,49452,"array([ 1.34806578, 12.74404159])"
21,25173,"array([ 1.34820578, 12.7444234 ])"
22,40435,"array([ 1.34787193, 12.74411524])"
23,21636,"array([ 1.34810809, 12.74443814])"
24,34752,"array([ 1.34812866, 12.74451507])"
25,32524,"array([ 1.34771928, 12.74495328])"
26,10820,"array([ 1.34785874, 12.74434069])"
27,67337,"array([ 1.3475802, 12.7436785])"
28,22475,"array([ 1.34815954, 12.74398583])"
29,7925,"array([ 1.34807124, 12.74419585])"
30,582,"array([ 1.34798416, 12.744892  ])"
31,27345,"array([ 1.34774101, 12.74422126])"
32,3781,"array([ 1.34804068, 12.74427651])"
33,35060,"array([ 1.34739525, 12.7444617 ])"
34,24929,"array([ 1.34781187, 12.744578  ])"
35,7074,"array([ 1.34710089, 12.74533457])"
36,4586,"array([ 1.34767093, 12.74488855])"
37,31197,"array([ 1.34827224, 12.74461309])"
38,31729,"array([ 1.34846655, 12.74430356])"
39,57451,"array([ 1.34821876, 12.74454895])"
40,61786,"array([ 1.34822085, 12.74415352])"
41,47024,"array([ 1.34792311, 12.74473791])"
42,13776,"array([ 1.34813068, 12.7445312 ])"
43,45959,"array([ 1.34887948, 12.74439633])"
44,45619,"array([ 1.34796752, 12.74568267])"
45,9265,"array([ 1.34821209, 12.74445277])"
46,59231,"array([ 1.34860064, 12.74448322])"
47,56556,"array([ 1.34828418, 12.74425111])"
48,55198,"array([ 1.34798489, 12.74468921])"
49,22525,"array([ 1.3479555 , 12.74473686])"
50,1219,"array([ 1.34770843, 12.7429671 ])"
51,21416,"array([ 1.34795128, 12.74446291])"
52,64152,"array([ 1.34797007, 12.74485425])"
53,7681,"array([ 1.34743867, 12.74456949])"
54,66595,"array([ 1.34788815, 12.74435091])"
55,39414,"array([ 1.34786883, 12.74474025])"
56,40817,"array([ 1.34761368, 12.74456677])"
57,18664,"array([ 1.34773715, 12.7450589 ])"
58,63391,"array([ 1.34789888, 12.74474503])"
59,37823,"array([ 1.34819647, 12.7444028 ])"
60,30425,"array([ 1.34757343, 12.74615878])"
61,7159,"array([ 1.34817848, 12.74529033])"
62,54433,"array([ 1.34785665, 12.74478017])"
63,41651,"array([ 1.34833584, 12.744192  ])"
64,44413,"array([ 1.3485144 , 12.74429356])"
65,32944,"array([ 1.34867509, 12.74357585])"
66,13028,"array([ 1.34863572, 12.74377931])"
67,11176,"array([ 1.34819411, 12.74407917])"
68,57704,"array([ 1.34802512, 12.74425693])"
69,66089,"array([ 1.34782584, 12.74403115])"
70,31008,"array([ 1.34836177, 12.74440535])"
71,43901,"array([ 1.34792675, 12.74376732])"
72,18510,"array([ 1.34816534, 12.74373232])"
73,11749,"array([ 1.34708374, 12.74424409])"
74,14976,"array([ 1.34808225, 12.74450618])"
75,22321,"array([ 1.34827503, 12.74451094])"
76,12002,"array([ 1.34786079, 12.74440312])"
77,38410,"array([ 1.34793144, 12.74447195])"
78,34480,"array([ 1.34800131, 12.74446488])"
79,39492,"array([ 1.34785867, 12.74386374])"
80,10418,"array([ 1.34729515, 12.74497809])"
81,28294,"array([ 1.34737645, 12.74560835])"
82,5752,"array([ 1.34797417, 12.74341511])"
83,60730,"array([ 1.34805169, 12.74427746])"
84,23971,"array([ 1.3482511 , 12.74365208])"
85,62404,"array([ 1.34776843, 12.7447719 ])"
86,28045,"array([ 1.3477634 , 12.74493024])"
87,6382,"array([ 1.34802792, 12.74416128])"
88,54512,"array([ 1.34812274, 12.74439955])"
89,1550,"array([ 1.34771692, 12.7448896 ])"
90,59106,"array([ 1.34783517, 12.74507044])"
91,25633,"array([ 1.34767018, 12.74435054])"
92,15319,"array([ 1.34837404, 12.74439361])"
93,60754,"array([ 1.34818272, 12.74362835])"
94,2362,"array([ 1.34758921, 12.74536661])"
95,34689,"array([ 1.34773597, 12.74437228])"
96,34691,"array([ 1.34844461, 12.74442139])"
97,24829,"array([ 1.34815482, 12.74480091])"
98,66706,"array([ 1.34792462, 12.74461543])"
99,68187,"array([ 1.34812256, 12.74716531])"
100,12856,"array([ 1.34847854, 12.74433408])"
101,20982,"array([ 1.34798132, 12.74458765])"
102,26461,"array([ 1.34775642, 12.74527816])"
103,26465,"array([ 1.34817802, 12.7442808 ])"
104,5,"array([ 1.35184112, 12.74291318])"
105,54227,"array([ 1.34874318, 12.74472931])"
106,37289,"array([ 1.35018386, 12.74284419])"
107,6,"array([ 1.34896908, 12.74439497])"
108,19664,"array([ 1.34880247, 12.74362163])"
109,2395,"array([ 1.34795576, 12.74440675])"
110,28167,"array([ 1.3493245 , 12.74499635])"
111,54289,"array([ 1.34886761, 12.74552775])"
112,12327,"array([ 1.34883736, 12.74425656])"
113,5306,"array([ 1.3492119 , 12.74486787])"
114,5612,"array([ 1.34865668, 12.74429997])"
115,47702,"array([ 1.34850907, 12.74447665])"
116,9726,"array([ 1.34857634, 12.74442944])"
117,17926,"array([ 1.34815254, 12.74467358])"
118,52970,"array([ 1.34850547, 12.74427892])"
119,48510,"array([ 1.34840691, 12.74456759])"
120,59069,"array([ 1.34891678, 12.74423923])"
121,26656,"array([ 1.34904272, 12.74418419])"
122,15123,"array([ 1.34922168, 12.74408579])"
123,41815,"array([ 1.3487444 , 12.74436887])"
124,58411,"array([ 1.34798849, 12.74482286])"
125,22140,"array([ 1.34843861, 12.74462961])"
126,5604,"array([ 1.34832801, 12.74418261])"
127,21362,"array([ 1.34872168, 12.74443807])"
