# source, target, weight, time
0,16528,1,1215184630
0,17834,1,1188402607
0,18503,1,1197145759
0,19834,1,1144906580
0,19834,1,1137625682
0,19834,1,1147409947
0,20870,1,1210155597
1,16529,1,1188263867
1,17654,1,1219547947
1,17660,1,1224750317
1,17662,1,1225828282
1,17670,1,1227897674
1,17674,1,1229642233
1,17989,1,1226890095
1,18086,1,1216312151
1,18011,1,1174413723
1,18628,1,1220859543
1,18086,1,1137374904
1,17811,1,1137375623
1,19636,1,1137375666
1,19670,1,1138137861
1,19561,1,1137181738
1,19693,1,1137374994
1,18628,1,1137191934
1,19880,1,1137900975
1,19913,1,1137374839
1,19983,1,1143998541
1,19993,1,1137375412
1,16589,1,1138040083
1,18011,1,1139234947
1,18512,1,1177598286
1,17190,1,1227808462
1,20551,1,1217355592
1,17548,1,1204908527
1,17600,1,1219259916
1,17526,1,1179204709
1,17540,1,1177739472
1,17989,1,1213680764
1,20955,1,1224225806
1,17670,1,1230365974
1,20291,1,1147729230
1,17391,1,1139887999
1,17540,1,1175957510
1,19983,1,1196199970
1,17185,1,1173272176
1,19066,1,1169932383
1,21623,1,1141540600
1,18505,1,1141573604
1,18628,1,1141573369
1,18787,1,1141573450
1,20291,1,1141573469
1,21628,1,1142403388
1,17185,1,1141574515
1,21630,1,1141574430
1,21315,1,1141574270
1,18893,1,1141574282
1,19993,1,1141573492
1,17391,1,1141545731
1,16589,1,1141574397
1,21634,1,1141574367
1,17410,1,1141574413
1,19129,1,1141573386
1,19130,1,1141574254
1,20560,1,1141574387
1,19066,1,1142127952
1,19129,1,1165617376
1,18103,1,1165075753
1,18628,1,1165075068
1,20291,1,1165075291
1,19636,1,1151349513
1,19693,1,1208206713
1,18506,1,1200426118
1,21822,1,1147480691
1,21834,1,1143347266
1,21838,1,1204049201
1,21661,1,1149269988
1,17921,1,1148575896
1,19130,1,1147480741
1,17757,1,1158602845
1,19066,1,1211926712
1,18537,1,1174225388
1,17526,1,1176639753
1,17989,1,1213816518
1,20291,1,1172878066
1,16589,1,1176414360
1,19130,1,1176414322
1,16589,1,1137302701
1,17407,1,1171667841
1,17478,1,1171667714
1,17526,1,1171667008
1,16529,1,1175893759
1,19693,1,1175811172
1,17391,1,1175866619
1,21634,1,1174503659
1,16529,1,1186927167
1,18027,1,1137345028
1,22899,1,1170883275
1,17526,1,1165889360
1,23061,1,1208023547
1,18496,1,1208217781
1,16827,1,1208217712
1,23087,1,1199241356
1,20609,1,1199228563
1,19066,1,1160946550
1,17527,1,1165358785
1,20291,1,1215107837
1,17540,1,1171152159
1,18067,1,1184273754
1,16529,1,1163221538
1,17660,1,1225637026
1,18537,1,1140539344
1,18232,1,1161646543
1,18055,1,1158435213
1,19066,1,1152581281
1,16665,1,1179777135
1,18103,1,1179773349
1,17931,1,1179773431
1,17870,1,1179774001
1,16868,1,1179772910
1,18630,1,1179774441
1,18537,1,1179772700
1,17527,1,1179772645
1,19130,1,1180543666
1,17989,1,1230592001
1,18628,1,1174188211
1,19130,1,1166942261
1,17989,1,1227622782
1,21790,1,1180756189
1,16726,1,1186551163
1,17921,1,1186550130
1,18103,1,1211731149
1,18067,1,1213290652
1,19622,1,1229961860
1,20764,1,1229961974
1,18731,1,1229962463
1,19129,1,1229980429
