# index, _pos
0,"array([13.12447209,  7.46105668])"
1,"array([13.12369885,  7.45820002])"
2,"array([13.12405523,  7.45988762])"
3,"array([13.12479226,  7.46249833])"
4,"array([13.1266653 ,  7.46579332])"
5,"array([13.12653936,  7.46589063])"
6,"array([13.12239113,  7.46103229])"
7,"array([13.12232448,  7.46251949])"
8,"array([13.1234782,  7.46324  ])"
9,"array([13.12308688,  7.4628772 ])"
10,"array([13.12091715,  7.45945963])"
11,"array([13.1208504,  7.4605204])"
12,"array([13.12208119,  7.46025067])"
13,"array([13.12312956,  7.45857586])"
14,"array([13.12537346,  7.4566324 ])"
15,"array([13.12274455,  7.45918884])"
16,"array([13.12238765,  7.46026639])"
17,"array([13.12462936,  7.46494971])"
18,"array([13.12286588,  7.45812656])"
19,"array([13.1222899 ,  7.46198078])"
20,"array([13.12290157,  7.45943494])"
21,"array([13.12590307,  7.46190517])"
22,"array([13.12249542,  7.46014219])"
23,"array([13.12473808,  7.4603701 ])"
24,"array([13.12372457,  7.45959833])"
25,"array([13.12477638,  7.46279817])"
26,"array([13.12018976,  7.46268921])"
27,"array([13.12147196,  7.46372608])"
28,"array([13.11745351,  7.45722027])"
29,"array([13.12361979,  7.45990485])"
30,"array([13.12454238,  7.46216593])"
31,"array([13.12398814,  7.46128941])"
32,"array([13.12220436,  7.46067729])"
33,"array([13.12072883,  7.46066209])"
34,"array([13.12388602,  7.46054953])"
35,"array([13.12395368,  7.45943595])"
36,"array([13.1251356 ,  7.46209116])"
37,"array([13.12393474,  7.46066816])"
38,"array([13.12322745,  7.46350112])"
39,"array([13.12412528,  7.46174234])"
40,"array([13.1262321 ,  7.46414764])"
41,"array([13.12320496,  7.46384545])"
42,"array([13.12391349,  7.46024862])"
43,"array([13.11866616,  7.45996622])"
44,"array([13.12357575,  7.46016385])"
45,"array([13.1237118 ,  7.45859311])"
46,"array([13.12611597,  7.4595688 ])"
47,"array([13.12594119,  7.45972426])"
48,"array([13.12337365,  7.45996114])"
49,"array([13.12261875,  7.45963423])"
50,"array([13.12245592,  7.46088499])"
51,"array([13.12473125,  7.45827791])"
52,"array([13.12083211,  7.45884919])"
53,"array([13.12226197,  7.45909832])"
54,"array([13.12394449,  7.46174628])"
55,"array([13.12200725,  7.46458549])"
56,"array([13.12214252,  7.46216959])"
57,"array([13.12166082,  7.46116662])"
58,"array([13.12187041,  7.45786312])"
59,"array([13.12261733,  7.45654676])"
60,"array([13.12179421,  7.46081267])"
61,"array([13.12058123,  7.46116359])"
62,"array([13.12120364,  7.46280712])"
63,"array([13.12261552,  7.46326384])"
64,"array([13.11550429,  7.453374  ])"
